Sno,Wardno Name,Circleno Name,Zone,Assessor Address,Latitude,Longitude,Category
76,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE , CHAKHRA ENCLAVE",17.4934756,78.542319,OPEN SPACES
77,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE,CHAKHRA ENCLAVE",17.4940041,78.5427877,OPEN SPACES
78,1-KAPRA,1-KAPRA,EAST ZONE,SUDHAKAR REDDY LAYOUT OPEN SPACE,17.4963515,78.5368355,OPEN SPACES
79,1-KAPRA,1-KAPRA,EAST ZONE,"ANITA ENCLAVE, AMMUGUDA",17.4961879,78.5375772,OPEN SPACES
80,1-KAPRA,1-KAPRA,EAST ZONE,OPEN SPACE BHASKAR RAO NAGAR COLONY,17.4926281,78.5488163,OPEN SPACES
81,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, ESHWARA",17.4934439,78.5504644,OPEN SPACES
82,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, LAKE VI",17.4951677,78.5482085,OPEN SPACES
83,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, MANIKSA",17.4956974,78.5469755,OPEN SPACES
84,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, AKASH ENCLAVE",17.496864,78.5483665,OPEN SPACES
85,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, RAJARAJESHWARI",17.497236,78.5492469,OPEN SPACES
86,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, DLR COLONY",17.4963175,78.5487991,OPEN SPACES
87,1-KAPRA,1-KAPRA,EAST ZONE,SAKETH OPEN SPACE,17.4970347,78.5472022,OPEN SPACES
88,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, O.U.T COLONY",17.4954626,78.546017,OPEN SPACES
89,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE, O.U.T COLONY",17.4952902,78.5451069,OPEN SPACES
90,1-KAPRA,1-KAPRA,EAST ZONE,"OPENSPACE,O.U.T COLONY",17.4957078,78.5448419,OPEN SPACES
