ward_id,ward_name,pop_annualized_growth_pct,pop_growth_z,infra_improvement_z,pressure_zscore,pressure_data_coverage,n_udise_signals_used,pressure_rank,udise_improvement_z,udise_imputed,udise_improvement_z_used,amenity_count,pressure_confidence,pressure_uncertainty
98,Ameerpet,0.7954551886397043,-0.3426396330713622,0.0888068379008029,-0.3813302521334278,full,5,93.0,0.0888068379008029,False,0.0888068379008029,443,high,0.5
14,BN Reddy Nagar,0.7915311333026809,-0.4557596009620721,,-0.40281920293725126,population_only,0,94.0,,True,0.0,255,medium,0.8
45,Jangammet,0.8136618598611145,0.1822097604962811,0.6551914780489516,-0.4180408225438882,full,5,95.0,0.6551914780489516,False,0.6551914780489516,254,high,0.5
94,Shaikpet,0.8231133378652444,0.454670466709951,0.9439858624783488,-0.4324772035351038,full,5,96.0,0.9439858624783488,False,0.9439858624783488,551,high,0.5
5,Mallapur,0.7900080534253062,-0.4996658999375337,,-0.44162540761157043,population_only,0,97.0,,True,0.0,1028,medium,0.8
116,Allapur,0.8173311991723775,0.2879869500159994,0.7896690981507821,-0.44340745123725617,full,5,98.0,0.7896690981507821,False,0.7896690981507821,549,high,0.5
61,Attapur,0.7898077177709073,-0.5054410383712746,,-0.44672971403939143,population_only,0,99.0,,True,0.0,371,medium,0.8
57,Suleman Nagar,0.7887027311474615,-0.5372948326296069,-0.0303810793660194,-0.4480313604288981,full,5,100.0,-0.0303810793660194,False,-0.0303810793660194,66,high,0.5
19,Saroornagar,0.7886486089917266,-0.5388550289043993,,-0.4762623821501535,population_only,0,101.0,,True,0.0,214,medium,0.8
125,Gajularamaram,0.7877402575578563,-0.5650403591833645,,-0.49940606107508584,population_only,0,102.0,,True,0.0,1112,medium,0.8
109,Hafeezpet,0.7862160574292787,-0.6089789519898808,,-0.5382408083741963,population_only,0,103.0,,True,0.0,419,medium,0.8
65,Karwan,0.8135650689140128,0.1794195376559071,0.8017371771867534,-0.5500300926199667,full,5,104.0,0.8017371771867534,False,0.8017371771867534,249,high,0.5
129,Suraram,0.7853624312170293,-0.6335867012255388,,-0.5599901558641079,population_only,0,105.0,,True,0.0,836,medium,0.8
10,Uppal,0.7847899987643014,-0.6500883901954234,,-0.5745750317151831,population_only,0,106.0,,True,0.0,2761,medium,0.8
67,Golconda,0.7772666152137564,-0.8669673158409272,-0.2049125058972836,-0.5851514488763694,full,5,107.0,-0.2049125058972836,False,-0.2049125058972836,93,high,0.5
74,Ahmed Nagar,0.7742231689022105,-0.9547016925177638,-0.2224166456760467,-0.6472238396491768,full,5,108.0,-0.2224166456760467,False,-0.2224166456760467,243,high,0.5
124,Alwyn Colony,0.7817918891996678,-0.7365158303195078,,-0.6509631812334818,population_only,0,109.0,,True,0.0,527,medium,0.8
7,Chilka Nagar,0.7805764406010995,-0.7715539464096705,,-0.6819313187473569,population_only,0,110.0,,True,0.0,512,medium,0.8
112,Ramachandrapuram,0.7800608437708023,-0.7864172171534555,,-0.6950680927427123,population_only,0,111.0,,True,0.0,385,medium,0.8
134,Alwal,0.7798510680004034,-0.7924644887573714,,-0.7004129217321453,population_only,0,112.0,,True,0.0,600,medium,0.8
138,Moula Ali,0.7788032707918946,-0.822669665902604,,-0.7271095077317318,population_only,0,113.0,,True,0.0,451,medium,0.8
110,Chandanagar,0.7786902172987276,-0.8259286942339141,,-0.7299899718887063,population_only,0,114.0,,True,0.0,1211,medium,0.8
78,Gunfoundry,0.7769564574664933,-0.8759083300209327,-0.0280816582004078,-0.7493443110156411,full,5,115.0,-0.0280816582004078,False,-0.0280816582004078,234,high,0.5
75,Red Hills,0.791391336573577,-0.4597895649022483,0.3959508732772423,-0.7563388253390277,full,5,116.0,0.3959508732772423,False,0.3959508732772423,222,high,0.5
