ward_id,ward_name_readme,udise2021_22_school_count,udise2021_22_student_count,udise2021_22_teacher_count,udise2021_22_classroom_count,udise2021_22_electricity_share,udise2021_22_library_share,udise2021_22_playground_share,udise2021_22_medical_checkup_share,udise2021_22_ramp_share,udise2021_22_internet_share,udise2021_22_computer_desktop_share,udise2021_22_boundary_wall_share,udise2021_22_government_school_share,udise2021_22_student_teacher_ratio,udise2021_22_data_available,udise2023_24_school_count,udise2023_24_student_count,udise2023_24_teacher_count,udise2023_24_classroom_count,udise2023_24_electricity_share,udise2023_24_drinking_water_share,udise2023_24_library_share,udise2023_24_playground_share,udise2023_24_medical_checkup_share,udise2023_24_ramp_share,udise2023_24_internet_share,udise2023_24_computer_desktop_share,udise2023_24_ict_lab_share,udise2023_24_boundary_wall_share,udise2023_24_government_school_share,udise2023_24_student_teacher_ratio,udise2023_24_data_available,udise2021_22_school_count_missing,udise2021_22_student_count_missing,udise2021_22_teacher_count_missing,udise2021_22_classroom_count_missing,udise2021_22_electricity_share_missing,udise2021_22_library_share_missing,udise2021_22_playground_share_missing,udise2021_22_medical_checkup_share_missing,udise2021_22_ramp_share_missing,udise2021_22_internet_share_missing,udise2021_22_computer_desktop_share_missing,udise2021_22_boundary_wall_share_missing,udise2021_22_government_school_share_missing,udise2021_22_student_teacher_ratio_missing,udise2023_24_school_count_missing,udise2023_24_student_count_missing,udise2023_24_teacher_count_missing,udise2023_24_classroom_count_missing,udise2023_24_electricity_share_missing,udise2023_24_drinking_water_share_missing,udise2023_24_library_share_missing,udise2023_24_playground_share_missing,udise2023_24_medical_checkup_share_missing,udise2023_24_ramp_share_missing,udise2023_24_internet_share_missing,udise2023_24_computer_desktop_share_missing,udise2023_24_ict_lab_share_missing,udise2023_24_boundary_wall_share_missing,udise2023_24_government_school_share_missing,udise2023_24_student_teacher_ratio_missing,udise_2021_2023_school_count_change,udise_2021_2023_school_count_pct_change,udise_2021_2023_student_count_change,udise_2021_2023_student_count_pct_change,udise_2021_2023_teacher_count_change,udise_2021_2023_teacher_count_pct_change,udise_2021_2023_classroom_count_change,udise_2021_2023_classroom_count_pct_change,udise_2021_2023_student_teacher_ratio_change,udise_2021_2023_student_teacher_ratio_pct_change,udise_2021_2023_internet_share_change,udise_2021_2023_internet_share_pct_change,udise_2021_2023_library_share_change,udise_2021_2023_library_share_pct_change,udise_2021_2023_playground_share_change,udise_2021_2023_playground_share_pct_change,udise_2021_2023_government_school_share_change,udise_2021_2023_government_school_share_pct_change,data_coverage_score,worldpop_status,geometry_status,worldpop_population_2015,worldpop_population_2018,worldpop_abs_growth_2015_2018,worldpop_pct_growth_2015_2018,worldpop_annualized_growth_2015_2018_pct,worldpop_data_status,worldpop_geometry_coverage_n,worldpop_geometry_coverage_total,census2011_population_verified,census2011_TOT_M,census2011_TOT_F,census2011_No_HH,census2011_P_06,census2011_P_SC,census2011_P_ST,census2011_P_LIT,census2011_P_ILL,census2011_TOT_WORK_P,census2011_MAINWORK_P,census2011_MARGWORK_P,census2011_NON_WORK_P,census2011_literacy_rate,census2011_work_participation_rate,census2011_non_worker_rate,census2011_sc_share,census2011_st_share,census2011_female_share,census2011_child_share,census2011_main_worker_share,census2011_marginal_worker_share,census2011_source_district,census2011_source_rows,census2011_sc_st_share,census2011_literacy_risk
25,Moosarambagh,57.0,14552.0,776.0,702.0,1.0,1.0701754385964912,1.4035087719298245,1.1754385964912282,1.456140350877193,1.2982456140350878,5.754385964912281,1.5087719298245614,0.2456140350877192,18.75257731958763,1,52.0,26612.0,681.0,722.0,1.0,1.6153846153846154,1.0576923076923077,1.4230769230769231,1.1923076923076923,1.5192307692307692,1.1923076923076923,6.884615384615385,7.288461538461538,1.6346153846153846,0.2692307692307692,39.07782672540382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0,-8.771929824561402,12060.0,82.87520615722924,-95.0,-12.242268041237113,20.0,2.849002849002849,20.325249405816187,108.38643168577076,-0.1059379217273954,-8.160083160083165,-0.0124831309041835,-1.1664564943253448,0.0195681511470986,1.3942307692307785,0.02361673414305,9.615384615384654,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,27991.79,28695.3,703.5099999999984,2.5132726417281583,0.8308355528972688,observed_raster_aggregation,1,145,22589,11580,11009,4405,3031,64,38,15559,7030,6913,5254,1659,15676,0.7955312404131302,0.306033910310328,0.693966089689672,0.0028332374164416,0.0016822347160122,0.4873611049625924,0.1341803532692903,0.2325910841560051,0.0734428261543229,536,1,0.0045154721324538,0.20446875958686983
26,Old Malakpet,11.0,4229.0,136.0,127.0,1.0,1.0,1.2727272727272727,2.0,1.9090909090909087,1.3636363636363635,3.272727272727273,1.3636363636363635,0.0909090909090909,31.09558823529412,1,13.0,9725.0,183.0,146.0,1.0,2.230769230769231,1.0,1.3846153846153846,1.2307692307692308,1.9230769230769231,1.0,7.076923076923077,7.384615384615385,1.6923076923076923,0.0769230769230769,53.14207650273224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,18.181818181818183,5496.0,129.95980137148263,47.0,34.55882352941176,19.0,14.960629921259844,22.04648826743812,70.89908735804171,-0.3636363636363635,-26.66666666666666,0.0,0.0,0.1118881118881118,8.79120879120879,-0.0139860139860139,-15.3846153846154,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,29835.64,30542.18,706.5400000000009,2.3681074044330903,0.7832188028386255,observed_raster_aggregation,1,145,43599,22334,21265,8833,5333,3041,2192,30795,12804,13286,10533,2753,30313,0.8047614069931532,0.3047317599027501,0.69526824009725,0.0697493061767471,0.0502763824858368,0.4877405445079015,0.1223193192504415,0.2415881098190325,0.0631436500837175,536,1,0.1200256886625839,0.19523859300684676
27,Akbarbagh,40.0,14730.0,695.0,590.0,1.0,1.075,1.325,1.2,1.4,1.1,9.3,1.25,0.175,21.194244604316548,1,40.0,30704.0,729.0,649.0,1.0,2.2,1.025,1.4,1.275,1.425,1.125,10.65,7.9,1.0,0.175,42.117969821673526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,15974.0,108.44534962661236,34.0,4.892086330935252,59.0,10.0,20.92372521735697,98.72361864265513,0.0249999999999999,2.2727272727272645,-0.05,-4.651162790697678,0.0749999999999999,5.660377358490563,0.0,0.0,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,21686.68,22219.56,532.880000000001,2.457176478834017,0.8124403576361239,observed_raster_aggregation,1,145,42758,22040,20718,8768,5842,3903,1135,28236,14522,14096,10266,3830,28662,0.7648716003900747,0.329669301651153,0.670330698348847,0.0912811637588287,0.026544740165583,0.4845409046260349,0.1366294026848777,0.2400954207399784,0.0895738809111745,536,1,0.11782590392441171,0.23512839960992526
28,Azampura,23.0,5656.0,279.0,249.0,1.0434782608695652,1.1304347826086956,1.3043478260869563,1.9130434782608696,1.7826086956521738,1.391304347826087,4.3478260869565215,1.173913043478261,0.3043478260869565,20.272401433691755,1,23.0,12299.0,306.0,261.0,1.0434782608695652,2.8260869565217392,1.0434782608695652,1.3043478260869563,1.173913043478261,1.7391304347826086,1.3043478260869563,7.913043478260869,7.086956521739131,1.173913043478261,0.3043478260869565,40.19281045751634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6643.0,117.45049504950497,27.0,9.67741935483871,12.0,4.819277108433735,19.920409023824583,98.26368666278393,-0.0869565217391306,-6.250000000000012,-0.0869565217391303,-7.692307692307687,0.0,0.0,0.0,0.0,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,22402.19,22949.06,546.8700000000026,2.4411452630301,0.8071821273478053,observed_raster_aggregation,1,145,46256,23838,22418,9617,6437,1784,291,32346,13910,15414,12392,3022,30842,0.8123257741279288,0.3332324455205811,0.6667675544794189,0.0385679695607056,0.0062910757523348,0.4846506399169837,0.1391603251470079,0.2679003804911795,0.0653320650294015,536,1,0.0448590453130404,0.18767422587207117
29,Chawni,2.0,168.0,10.0,10.0,1.0,1.0,1.5,1.0,1.0,2.0,1.5,1.0,0.5,16.8,1,2.0,352.0,9.0,10.0,1.0,1.0,1.0,1.5,1.0,1.5,2.0,1.5,9.0,1.0,0.5,39.11111111111112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,184.0,109.52380952380952,-1.0,-10.0,0.0,0.0,22.31111111111112,132.80423280423287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,14332.58,14695.71,363.1299999999992,2.533598277490858,0.8374991303665036,observed_raster_aggregation,1,145,54010,27701,26309,10269,7082,140,2,39466,14544,15197,11818,3379,38813,0.8409904534606205,0.2813738196630254,0.7186261803369747,0.0025921125717459,3.703017959637104e-05,0.4871134975004629,0.1311238659507498,0.2188113312349565,0.0625624884280688,536,1,0.002629142751342271,0.1590095465393795
30,Dabeerpura,62.0,16605.0,811.0,685.0,1.0161290322580645,1.1129032258064515,1.3387096774193548,1.7580645161290325,1.7258064516129032,1.2741935483870968,3.290322580645161,1.3709677419354838,0.2258064516129032,20.474722564734897,1,61.0,35973.0,856.0,738.0,1.0,2.0491803278688523,1.0819672131147542,1.3442622950819672,1.1967213114754098,1.639344262295082,1.213114754098361,6.262295081967213,7.672131147540983,1.2459016393442623,0.2295081967213114,42.024532710280376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.6129032258064515,19368.0,116.63956639566396,45.0,5.548705302096177,53.0,7.737226277372263,21.54981014554548,105.25080414355546,-0.0610787942887358,-4.793525627723573,-0.0309360126916973,-2.7797576621525133,0.0055526176626123,0.4147738494963474,0.0037017451084082,1.6393442622950627,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,25603.34,26227.12,623.7799999999988,2.436322761014769,0.8056002419102537,observed_raster_aggregation,1,145,22888,11663,11225,4733,2702,1896,471,16993,5895,7393,5354,2039,15495,0.8418210641038344,0.3230076896190143,0.6769923103809856,0.082838168472562,0.0205784690667598,0.4904316672492135,0.1180531282768262,0.2339217056973086,0.0890859839217056,536,1,0.10341663753932179,0.1581789358961656
31,Rein Bazar,28.0,7717.0,336.0,355.0,1.0,1.1785714285714286,1.6428571428571428,1.1071428571428572,1.3571428571428572,1.7142857142857142,1.9642857142857144,1.6071428571428572,0.2857142857142857,22.967261904761905,1,35.0,19977.0,400.0,451.0,1.0285714285714285,2.142857142857143,1.1714285714285717,1.6857142857142855,1.1714285714285717,1.4,1.457142857142857,4.457142857142857,7.457142857142857,1.7142857142857142,0.3428571428571428,49.9425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,25.0,12260.0,158.8700272126474,64.0,19.047619047619047,96.0,27.04225352112676,26.975238095238097,117.45082285862382,-0.2571428571428571,-15.0,-0.0071428571428568,-0.6060606060605851,0.0428571428571427,2.608695652173904,0.0571428571428571,19.999999999999982,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,10112.94,10375.31,262.369999999999,2.5943988592832445,0.85742680045795,observed_raster_aggregation,1,145,25280,13145,12135,5214,3127,87,103,18926,6354,7634,4874,2760,17646,0.8543312418182639,0.3019778481012658,0.6980221518987342,0.0034414556962025,0.0040743670886075,0.4800237341772151,0.1236946202531645,0.1928006329113924,0.1091772151898734,536,1,0.00751582278481,0.14566875818173608
32,Patthergatti,22.0,3349.0,195.0,193.0,1.0,1.181818181818182,1.318181818181818,1.181818181818182,1.818181818181818,1.3636363636363635,4.227272727272728,2.0,0.4545454545454545,17.174358974358974,1,22.0,5157.0,182.0,192.0,1.0,2.090909090909091,1.0454545454545454,1.318181818181818,1.1363636363636365,1.2727272727272727,1.318181818181818,5.181818181818182,6.363636363636363,2.4545454545454546,0.4545454545454545,28.33516483516484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1808.0,53.98626455658405,-13.0,-6.666666666666667,-1.0,-0.5181347150259068,11.160805860805866,64.98528345348295,-0.0454545454545456,-3.3333333333333472,-0.1363636363636367,-11.538461538461563,0.0,0.0,0.0,0.0,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,27628.64,28324.46,695.8199999999997,2.518473583933193,0.832540719022945,observed_raster_aggregation,1,145,39521,20172,19349,8824,4326,2048,282,31044,8477,13275,10875,2400,26246,0.8820571103849979,0.3358973710179398,0.6641026289820602,0.0518205510994155,0.0071354469775562,0.4895878140735305,0.1094607929961286,0.2751701626983123,0.0607272083196275,536,1,0.0589559980769717,0.1179428896150021
33,Moghalpura,19.0,5411.0,243.0,158.0,1.0,1.1578947368421053,1.631578947368421,1.3157894736842106,1.5263157894736843,1.263157894736842,5.7368421052631575,1.0,0.1578947368421052,22.26748971193416,1,18.0,12184.0,249.0,208.0,1.0,2.333333333333333,1.1666666666666667,1.5,1.1111111111111112,1.3333333333333333,1.1666666666666667,9.27777777777778,7.722222222222222,1.0555555555555556,0.1666666666666666,48.93172690763052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-5.263157894736842,6773.0,125.17094806874884,6.0,2.469135802469136,50.0,31.64556962025317,26.66423719569636,119.74514209118858,-0.0964912280701753,-7.638888888888879,0.0087719298245614,0.7575757575757599,-0.131578947368421,-8.064516129032256,0.0087719298245614,5.555555555555557,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,12403.0,12725.29,322.2900000000009,2.5984842376844384,0.8587655196879318,observed_raster_aggregation,1,145,23269,12161,11108,5060,2596,971,765,18433,4836,8934,6897,2037,14335,0.8916461084506361,0.3839443035798702,0.6160556964201298,0.0417293394645236,0.0328763591043878,0.4773733293222743,0.1115647427908376,0.2964029395332846,0.0875413640465855,536,1,0.07460569856891139,0.10835389154936392
34,Talab Chanchalam,54.0,13646.0,626.0,587.0,1.037037037037037,1.3148148148148149,1.6111111111111112,1.4074074074074074,1.5,1.6666666666666667,2.685185185185185,1.7407407407407407,0.3703703703703703,21.79872204472844,1,54.0,31188.0,561.0,604.0,1.037037037037037,1.3148148148148149,1.1666666666666667,1.6111111111111112,1.148148148148148,1.537037037037037,1.4074074074074074,5.462962962962963,7.592592592592593,1.6296296296296295,0.3703703703703703,55.593582887700535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,17542.0,128.55049098636962,-65.0,-10.383386581469647,17.0,2.8960817717206133,33.7948608429721,155.0313856639347,-0.2592592592592593,-15.55555555555556,-0.1481481481481481,-11.267605633802816,0.0,0.0,0.0,0.0,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,9203.87,9448.4,244.52999999999884,2.6568171866834147,0.8778765056169036,observed_raster_aggregation,1,145,47127,24304,22823,9875,5133,1572,290,34942,12185,15932,11987,3945,31195,0.8320712482735629,0.3380652280009336,0.6619347719990664,0.0333566745177923,0.0061535849937403,0.4842871390073631,0.1089184543892036,0.2543552528274662,0.0837099751734674,536,1,0.0395102595115326,0.16792875172643706
35,Gowlipura,21.0,3124.0,147.0,154.0,1.0476190476190477,1.0952380952380951,1.5238095238095235,1.238095238095238,1.619047619047619,1.238095238095238,0.5714285714285714,1.4285714285714286,0.3809523809523809,21.25170068027211,1,21.0,5253.0,146.0,163.0,1.0952380952380951,3.6666666666666665,1.1904761904761905,1.5238095238095235,1.3333333333333333,1.619047619047619,1.4285714285714286,3.238095238095238,8.666666666666666,1.238095238095238,0.3809523809523809,35.97945205479452,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2129.0,68.14980793854033,-1.0,-0.6802721088435374,9.0,5.844155844155844,14.727751374522413,69.30151895181801,0.1904761904761907,15.384615384615405,0.0952380952380953,8.695652173913054,0.0,0.0,0.0,0.0,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,14788.22,15175.27,387.0500000000011,2.617285920820769,0.8649261003902842,observed_raster_aggregation,1,145,40214,20350,19864,7882,4495,1214,42,28897,11317,12835,9122,3713,27379,0.8090092107841765,0.3191674541204555,0.6808325458795444,0.0301884915700999,0.0010444123936937,0.4939573282936291,0.1117769930869846,0.2268364251255781,0.0923310289948774,536,1,0.0312329039637936,0.19099078921582346
36,Lalithabagh,18.0,2727.0,118.0,139.0,1.0555555555555556,1.0555555555555556,1.5555555555555556,1.2777777777777777,1.5,1.0555555555555556,0.7777777777777778,1.6666666666666667,0.3333333333333333,23.110169491525426,1,19.0,6623.0,157.0,177.0,1.0,3.1052631578947367,1.2105263157894737,1.5789473684210529,1.2105263157894737,1.5263157894736843,1.3157894736842106,3.0,8.631578947368421,1.4210526315789471,0.3684210526315789,42.18471337579618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.555555555555555,3896.0,142.86762009534286,39.0,33.05084745762712,38.0,27.33812949640288,19.07454388427076,82.53744695063985,0.260233918128655,24.65373961218837,0.1549707602339181,14.681440443213292,0.0233918128654972,1.5037593984962547,0.0350877192982456,10.526315789473683,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,13971.79,14338.68,366.8899999999994,2.6259341143833352,0.8677595245813352,observed_raster_aggregation,1,145,32375,16591,15784,6365,3822,669,389,23635,8740,9692,6644,3048,22683,0.8277589044933983,0.2993667953667954,0.7006332046332047,0.0206640926640926,0.012015444015444,0.4875366795366795,0.118054054054054,0.2052200772200772,0.0941467181467181,536,1,0.0326795366795366,0.17224109550660172
37,Kurmaguda,25.0,4176.0,189.0,236.0,1.0,1.08,1.44,1.08,1.48,1.76,1.6,1.88,0.32,22.09523809523809,1,24.0,8074.0,200.0,232.0,1.0,2.0416666666666665,1.0,1.375,1.0833333333333333,1.5416666666666667,1.2916666666666667,4.083333333333333,8.083333333333334,1.0833333333333333,0.3333333333333333,40.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-4.0,3898.0,93.34291187739464,11.0,5.82010582010582,-4.0,-1.694915254237288,18.274761904761903,82.70905172413795,-0.4683333333333332,-26.60984848484848,-0.08,-7.407407407407414,-0.0649999999999999,-4.513888888888886,0.0133333333333333,4.166666666666659,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,16592.83,17017.03,424.1999999999971,2.556525921135798,0.8450146959284144,observed_raster_aggregation,1,145,30725,15904,14821,5854,3488,373,90,24212,6513,9640,6913,2727,21085,0.8889378419062305,0.3137510170870626,0.6862489829129373,0.0121399511798209,0.0029292107404393,0.4823759153783564,0.1135231895850284,0.2249959316517494,0.0887550854353132,536,1,0.0150691619202602,0.11106215809376951
38,IS Sadan,29.0,10297.0,420.0,415.0,1.0,1.0344827586206895,1.3793103448275863,1.3448275862068966,1.5172413793103448,1.5862068965517242,3.655172413793104,1.7241379310344829,0.2413793103448276,24.516666666666666,1,23.0,18730.0,379.0,388.0,1.0,2.391304347826087,1.0434782608695652,1.434782608695652,1.3043478260869563,1.4782608695652173,1.3043478260869563,10.956521739130435,8.0,1.5217391304347827,0.3043478260869565,49.41952506596306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0,-20.6896551724138,8433.0,81.89764008934641,-41.0,-9.761904761904765,-27.0,-6.506024096385541,24.90285839929639,101.57522120719126,-0.2818590704647679,-17.7693761814745,0.0089955022488756,0.8695652173913165,0.0554722638680658,4.021739130434771,0.0629685157421288,26.086956521739108,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,35650.67,36514.47,863.8000000000029,2.422955865906596,0.8012153503583752,observed_raster_aggregation,1,145,25782,13328,12454,5007,2994,508,60,20385,5397,8197,5929,2268,17585,0.8945497630331753,0.3179349934062524,0.6820650065937476,0.0197036692265921,0.0023272050267628,0.4830501900550772,0.1161275308354666,0.2299666433946164,0.087968350011636,536,1,0.0220308742533549,0.10545023696682465
39,Santhosh Nagar,22.0,6501.0,328.0,286.0,1.0,1.1363636363636365,1.2272727272727273,1.0909090909090908,1.4090909090909092,1.5454545454545454,5.454545454545454,1.2727272727272727,0.0909090909090909,19.820121951219512,1,22.0,18578.0,340.0,358.0,1.0,2.090909090909091,1.181818181818182,1.318181818181818,1.318181818181818,1.5909090909090908,1.1363636363636365,7.318181818181818,9.0,1.2272727272727273,0.0909090909090909,54.64117647058824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,12077.0,185.7714197815721,12.0,3.658536585365853,72.0,25.174825174825177,34.82105451936873,175.68536967163425,-0.4090909090909089,-26.470588235294105,0.0454545454545456,4.000000000000015,0.0909090909090906,7.407407407407382,0.0,0.0,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,17017.05,17446.14,429.09000000000015,2.5215298773876795,0.8335427198040035,observed_raster_aggregation,1,145,68878,35824,33054,12960,9462,5,166,47400,21478,19503,10526,8977,49375,0.7977649118082671,0.2831528209297598,0.7168471790702401,7.2592119399518e-05,0.0024100583640639,0.4798919829263335,0.1373733267516478,0.1528209297598652,0.1303318911698946,536,1,0.002482650483463418,0.20223508819173286
40,Riyasat Nagar,40.0,8891.0,305.0,343.0,1.0,1.125,1.525,1.225,1.4,1.05,0.825,2.05,0.3,29.15081967213115,1,40.0,22426.0,373.0,422.0,1.05,1.4,1.125,1.6,1.15,1.45,1.175,2.775,8.4,1.65,0.3,60.12332439678284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,13535.0,152.2325947587448,68.0,22.295081967213115,79.0,23.03206997084548,30.97250472465169,106.24917265795484,0.125,11.904761904761903,0.0,0.0,0.0750000000000001,4.918032786885258,0.0,0.0,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,15715.56,16126.7,411.1400000000013,2.6161333099170583,0.8645484562540773,observed_raster_aggregation,1,145,31269,16101,15168,6238,3893,2135,213,23778,7491,9807,7420,2387,21462,0.8685710111046172,0.3136333109469442,0.6863666890530558,0.0682784866800985,0.0068118583900988,0.4850810707090089,0.1245003038152803,0.2372957241996866,0.0763375867472576,536,1,0.07509034507019731,0.1314289888953828
41,Kanchanbagh,79.0,23563.0,833.0,832.0,1.0126582278481011,1.0886075949367089,1.6075949367088609,1.2784810126582278,1.3291139240506329,1.4177215189873418,0.379746835443038,1.759493670886076,0.189873417721519,28.286914765906364,1,76.0,53840.0,954.0,1039.0,1.0,1.4210526315789471,1.0526315789473684,1.5657894736842106,1.236842105263158,1.236842105263158,1.1973684210526316,5.065789473684211,8.894736842105264,1.368421052631579,0.1973684210526315,56.43605870020964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,-3.79746835443038,30277.0,128.4938250647201,121.0,14.525810324129653,207.0,24.879807692307693,28.14914393430328,99.51295207433108,-0.2203530979347101,-15.542763157894733,-0.0359760159893405,-3.3047735618115137,-0.0418054630246502,-2.6004973062577723,0.0074950033311124,3.947368421052582,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,39594.89,40501.66,906.770000000004,2.290118750172065,0.7576185624502685,observed_raster_aggregation,1,145,31812,16073,15739,7257,3516,3121,525,23531,8281,11851,9078,2773,19961,0.8316016398077467,0.3725323777190997,0.6274676222809003,0.0981076323399974,0.0165032063372312,0.4947504086508236,0.1105243304413428,0.2853640135797812,0.0871683641393185,536,1,0.1146108386772286,0.1683983601922533
42,Barkas,26.0,8426.0,333.0,273.0,1.0,1.0384615384615383,1.4230769230769231,1.2307692307692308,1.4615384615384617,1.2692307692307692,0.6153846153846154,1.4615384615384617,0.2692307692307692,25.303303303303306,1,27.0,20166.0,356.0,300.0,1.0,2.7777777777777777,1.1111111111111112,1.4814814814814814,1.2592592592592593,1.2962962962962965,1.1111111111111112,7.222222222222222,7.592592592592593,1.3333333333333333,0.2592592592592592,56.646067415730336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.8461538461538463,11740.0,139.33064324709233,23.0,6.906906906906906,27.0,9.89010989010989,31.34276411242703,123.8682702283195,-0.158119658119658,-12.45791245791245,0.0726495726495728,6.995884773662571,0.0584045584045582,4.104104104104095,-0.00997150997151,-3.703703703703725,1.0,2015_2018_ingested; other_years_not_ingested; 5_wards_missing_geometry,150_WARD_ID_FRAMEWORK_LOCKED; POLYGON_FILE_REQUIRES_150_FEATURE_VALIDATION,18962.2,19395.98,433.7799999999989,2.287603759057488,0.7567927850915757,observed_raster_aggregation,1,145,28678,14588,14090,6379,3283,1642,409,21792,6886,10924,9096,1828,17754,0.85812167749557,0.380919171490341,0.619080828509659,0.0572564335030336,0.0142618034730455,0.4913173861496617,0.1144779970709254,0.3171769300509101,0.0637422414394309,536,1,0.0715182369760791,0.14187832250443
